model,f1,precision,recall,roc_auc,timestamp
LogReg,0.767505304637769,0.8653451811346549,0.6895424836601307,0.9868668350096433,2026-02-02 16:30:24
RandomForest,0.7631658140234727,0.8527236045729657,0.690631808278867,0.9856381310290597,2026-02-02 16:36:38
XGBoost,0.7691387559808612,0.8527851458885941,0.7004357298474946,0.9864508476875782,2026-02-02 16:39:31
LogReg,0.767505304637769,0.8653451811346549,0.6895424836601307,0.9868668350096433,2026-02-02 18:56:14
LogReg,0.767505304637769,0.8653451811346549,0.6895424836601307,0.9868668350096433,2026-02-02 18:56:28
